section,area,block,question_id,question_text,type,option_a,option_b,option_c,option_d,option_e,correct_option,scale_mapping,scoring_mapping,weight_to_100,locale
Cuestionario,Finanzas/Contabilidad,Conocimiento,C1,"Al trabajar con información material no pública (MNPI), práctica adecuada",Multiple Choice (una respuesta),A) Cargar MNPI en servicios públicos,"B) Usar entornos aprobados/privados, minimizar/anonimizar, controles de acceso y DPA",C) Compartir por mensajería personal,D) Enviar por correo sin cifrado,,B,,Correcta=100; Incorrecta=0,8.333333,MX/LATAM
Cuestionario,Finanzas/Contabilidad,Conocimiento,C2,Qué valida mejor el impacto de Gen-AI en Finanzas,Multiple Choice (una respuesta),A) Nº de prompts,"B) Experimentos A/B con línea base: tiempo de cierre, errores, retrabajo, productividad; y métricas de negocio (ahorros/ingresos)",C) Likes en el deck,D) Nº de modelos,,B,,Correcta=100; Incorrecta=0,8.333333,MX/LATAM
Cuestionario,Finanzas/Contabilidad,Conocimiento,C3,Uso en crédito/precios/selección (alto impacto) – lo correcto es…,Multiple Choice (una respuesta),A) Delegar a la IA,"B) Supervisión humana documentada, evaluación de impacto/model risk, explicabilidad y criterios de liberación",C) Ocultar el uso de IA,D) Solo NDA con proveedor,,B,,Correcta=100; Incorrecta=0,8.333333,MX/LATAM
Cuestionario,Finanzas/Contabilidad,Conocimiento,C4,Cláusulas críticas al contratar Gen-AI en finanzas,Multiple Choice (una respuesta),A) Paleta de colores,"B) Seguridad y ubicación/transferencia de datos, confidencialidad, derechos sobre outputs, límites de entrenamiento, SLAs y notificación de incidentes",C) Foto del equipo,D) Precio fijo sin más,,B,,Correcta=100; Incorrecta=0,8.333333,MX/LATAM
Cuestionario,Finanzas/Contabilidad,Conocimiento,C5,Control que ayuda a asegurar exactitud numérica,Multiple Choice (una respuesta),A) Confiar ciegamente,"B) Conciliar contra sistemas origen (ERP/GL), referencias y documentación de fuentes/fechas",C) Redondear a 2 decimales,D) Aumentar temperatura,,B,,Correcta=100; Incorrecta=0,8.333333,MX/LATAM
Cuestionario,Finanzas/Contabilidad,Conocimiento,C6,Transferir datos financieros a nubes externas en LATAM – recomendable,Multiple Choice (una respuesta),A) Reutilizar datos libremente,"B) Base legal/consentimiento, minimización, evaluaciones de transferencia internacional y DPA; considerar localización cuando aplique",C) Subir todo sin controles,D) Enviar a correos personales,,B,,Correcta=100; Incorrecta=0,8.333333,MX/LATAM
Cuestionario,Administración Pública/Gobierno,Adopción,A1,"¿Con qué frecuencia usa Gen-AI para atención ciudadana (chatbots/FAQ, redacción de respuestas, orientación en trámites) con revisión humana?",Multiple Choice (escala Likert A–E),A) Nunca,B) Rara vez (≤ 1/mes),C) Ocasional (2–3/mes),D) Frecuente (semanal),E) Muy frecuente (diaria),,A=0; B=25; C=50; D=75; E=100,A=0; B=25; C=50; D=75; E=100,8.333333,MX/LATAM
Cuestionario,Administración Pública/Gobierno,Adopción,A2,"¿Con qué frecuencia usa Gen-AI para síntesis de normativa/política pública (resúmenes de leyes, reglamentos, comparativos internacionales)?",Multiple Choice (escala Likert A–E),A) Nunca,B) Rara vez (≤ 1/mes),C) Ocasional (2–3/mes),D) Frecuente (semanal),E) Muy frecuente (diaria),,A=0; B=25; C=50; D=75; E=100,A=0; B=25; C=50; D=75; E=100,8.333333,MX/LATAM
Cuestionario,Administración Pública/Gobierno,Adopción,A3,"¿Con qué frecuencia aplica Gen-AI para gestión documental (clasificación, metadatos, resúmenes de expedientes) y acceso a la información (búsqueda semántica)?",Multiple Choice (escala Likert A–E),A) Nunca,B) Rara vez (≤ 1/mes),C) Ocasional (2–3/mes),D) Frecuente (semanal),E) Muy frecuente (diaria),,A=0; B=25; C=50; D=75; E=100,A=0; B=25; C=50; D=75; E=100,8.333333,MX/LATAM
Cuestionario,Administración Pública/Gobierno,Adopción,A4,"¿Con qué frecuencia integra Gen-AI en analítica de participación ciudadana (temas emergentes, sentimiento, priorización de problemas)?",Multiple Choice (escala Likert A–E),A) Nunca,B) Rara vez (≤ 1/mes),C) Ocasional (2–3/mes),D) Frecuente (semanal),E) Muy frecuente (diaria),,A=0; B=25; C=50; D=75; E=100,A=0; B=25; C=50; D=75; E=100,8.333333,MX/LATAM
Cuestionario,Administración Pública/Gobierno,Adopción,A5,"¿Con qué frecuencia implementa gobernanza y salvaguardas (políticas de uso, guardrails, evaluación de impacto, registro de prompts/outputs)?",Multiple Choice (escala Likert A–E),A) Nunca,B) Rara vez (≤ 1/mes),C) Ocasional (2–3/mes),D) Frecuente (semanal),E) Muy frecuente (diaria),,A=0; B=25; C=50; D=75; E=100,A=0; B=25; C=50; D=75; E=100,8.333333,MX/LATAM
Cuestionario,Administración Pública/Gobierno,Adopción,A6,"¿Con qué frecuencia considera datos personales y transferencias internacionales (minimización, anonimización, contratos de encargo) al usar Gen-AI?",Multiple Choice (escala Likert A–E),A) Nunca,B) Rara vez (≤ 1/mes),C) Ocasional (2–3/mes),D) Frecuente (semanal),E) Muy frecuente (diaria),,A=0; B=25; C=50; D=75; E=100,A=0; B=25; C=50; D=75; E=100,8.333333,MX/LATAM
Cuestionario,Administración Pública/Gobierno,Conocimiento,C1,"Para servicios al público con Gen-AI, práctica que mejora la confianza",Multiple Choice (una respuesta),A) Ocultar el uso de IA,"B) Señalizar uso de IA cuando aplique, documentar propósito/limitaciones y permitir revisión humana",C) Desactivar registros,D) Solo cambiar el logo,,B,,Correcta=100; Incorrecta=0,8.333333,MX/LATAM
Cuestionario,Administración Pública/Gobierno,Conocimiento,C2,"Casos de alto impacto (beneficios sociales, empleo público, sanciones) – lo correcto es…",Multiple Choice (una respuesta),A) Automatizar totalmente,"B) Supervisión humana documentada, evaluación de impacto, criterios de liberación y vías de reclamación",C) Omitir notificaciones,D) Terceros sin contrato,,B,,Correcta=100; Incorrecta=0,8.333333,MX/LATAM
Cuestionario,Administración Pública/Gobierno,Conocimiento,C3,"Con PII/PHI en gobierno, práctica adecuada",Multiple Choice (una respuesta),A) Subir expedientes completos a servicios públicos,"B) Minimización/anonimización, entornos aprobados, cláusulas de tratamiento/transferencia y controles de acceso",C) Compartir por mensajería personal,D) Reutilizar sin base legal,,B,,Correcta=100; Incorrecta=0,8.333333,MX/LATAM
Cuestionario,Administración Pública/Gobierno,Conocimiento,C4,Compras públicas – cláusulas críticas en contratación de Gen-AI,Multiple Choice (una respuesta),A) Colores del portal,"B) Seguridad y ubicación/transferencia de datos, confidencialidad, derechos sobre outputs, límites de entrenamiento, SLAs, auditoría y notificación de incidentes",C) Foto del proveedor,D) Precio sin métricas,,B,,Correcta=100; Incorrecta=0,8.333333,MX/LATAM
Cuestionario,Administración Pública/Gobierno,Conocimiento,C5,Riesgo típico al publicar respuestas automáticas,Multiple Choice (una respuesta),A) Mejor ortografía,B) Afirmaciones erróneas plausibles; requiere revisión/fact-checking y guardrails,C) Bajas de ancho de banda,D) Temas de tipografía,,B,,Correcta=100; Incorrecta=0,8.333333,MX/LATAM
Cuestionario,Administración Pública/Gobierno,Conocimiento,C6,Audiencias diversas – mejor práctica de accesibilidad/lenguaje,Multiple Choice (una respuesta),A) Un solo registro formal,"B) Guías de estilo multirregional, lectura fácil y adaptación cultural; revisión humana antes de publicar",C) Traducir literal,D) Solo jerga técnica,,B,,Correcta=100; Incorrecta=0,8.333333,MX/LATAM
Cuestionario,Academia/Investigación,Adopción,A1,"¿Con qué frecuencia usa Gen-AI para revisión/síntesis de literatura (resúmenes de artículos, state-of-the-art, mapas de temas) con verificación posterior?",Multiple Choice (escala Likert A–E),A) Nunca,B) Rara vez (≤ 1/mes),C) Ocasional (2–3/mes),D) Frecuente (semanal),E) Muy frecuente (diaria),,A=0; B=25; C=50; D=75; E=100,A=0; B=25; C=50; D=75; E=100,8.333333,MX/LATAM
Cuestionario,Academia/Investigación,Adopción,A2,"¿Con qué frecuencia usa Gen-AI para redacción de secciones (introducción, métodos, discusión) o edición multilingüe (ES↔EN) con declaración de uso de IA?",Multiple Choice (escala Likert A–E),A) Nunca,B) Rara vez (≤ 1/mes),C) Ocasional (2–3/mes),D) Frecuente (semanal),E) Muy frecuente (diaria),,A=0; B=25; C=50; D=75; E=100,A=0; B=25; C=50; D=75; E=100,8.333333,MX/LATAM
Cuestionario,Academia/Investigación,Adopción,A3,"¿Con qué frecuencia emplea Gen-AI para apoyo en análisis (snippets de código, pseudocódigo, plantillas de notebooks) con pruebas y revisión humana?",Multiple Choice (escala Likert A–E),A) Nunca,B) Rara vez (≤ 1/mes),C) Ocasional (2–3/mes),D) Frecuente (semanal),E) Muy frecuente (diaria),,A=0; B=25; C=50; D=75; E=100,A=0; B=25; C=50; D=75; E=100,8.333333,MX/LATAM
Cuestionario,Academia/Investigación,Adopción,A4,"¿Con qué frecuencia utiliza Gen-AI para gestión de proyectos (resúmenes de avances, minutas de grupo, planes de trabajo, grant writing con controles de originalidad)?",Multiple Choice (escala Likert A–E),A) Nunca,B) Rara vez (≤ 1/mes),C) Ocasional (2–3/mes),D) Frecuente (semanal),E) Muy frecuente (diaria),,A=0; B=25; C=50; D=75; E=100,A=0; B=25; C=50; D=75; E=100,8.333333,MX/LATAM
Cuestionario,Academia/Investigación,Adopción,A5,"¿Con qué frecuencia integra Gen-AI en divulgación (resúmenes para público general, infografías, guiones de video) adaptados a español regional?",Multiple Choice (escala Likert A–E),A) Nunca,B) Rara vez (≤ 1/mes),C) Ocasional (2–3/mes),D) Frecuente (semanal),E) Muy frecuente (diaria),,A=0; B=25; C=50; D=75; E=100,A=0; B=25; C=50; D=75; E=100,8.333333,MX/LATAM
Cuestionario,Academia/Investigación,Adopción,A6,"¿Con qué frecuencia aplica buenas prácticas (registro de prompts/outputs, verificación de citas, detección de plagio, políticas de co-autoría/uso de IA de la institución/revista)?",Multiple Choice (escala Likert A–E),A) Nunca,B) Rara vez (≤ 1/mes),C) Ocasional (2–3/mes),D) Frecuente (semanal),E) Muy frecuente (diaria),,A=0; B=25; C=50; D=75; E=100,A=0; B=25; C=50; D=75; E=100,8.333333,MX/LATAM
Cuestionario,Academia/Investigación,Conocimiento,C1,Riesgo típico al usar Gen-AI para literatura,Multiple Choice (una respuesta),A) Referencias fabricadas o mal citadas; requiere verificación en bases primarias,B) Tamaño de hoja,C) Formato APA por sí mismo lo evita,D) Traducir garantiza exactitud,,A,,Correcta=100; Incorrecta=0,8.333333,MX/LATAM
Cuestionario,Academia/Investigación,Conocimiento,C2,Política madura sobre autoría y uso de IA,Multiple Choice (una respuesta),A) Incluir a la IA como coautora,"B) Declarar el uso de IA, mantener autoría y responsabilidad humanas; describir exactamente qué se generó y cómo se verificó",C) No declarar,D) Delegar revisión a la IA,,B,,Correcta=100; Incorrecta=0,8.333333,MX/LATAM
Cuestionario,Academia/Investigación,Conocimiento,C3,Práctica que mejora reproducibilidad con Gen-AI,Multiple Choice (una respuesta),A) No guardar nada,"B) Registrar prompts, versión del modelo, seeds, datos y environment; controlar cambios",C) Capturas de pantalla sueltas,D) Texto final sin materiales,,B,,Correcta=100; Incorrecta=0,8.333333,MX/LATAM
Cuestionario,Academia/Investigación,Conocimiento,C4,"En proyectos con sujetos humanos/datos sensibles, lo correcto es…",Multiple Choice (una respuesta),A) Subir datos crudos a chatbots públicos,"B) Aprobación de comité de ética, minimización/anonimización, entornos aprobados y consentimiento informado acorde al uso",C) Omitir consentimiento,D) Publicar identificadores,,B,,Correcta=100; Incorrecta=0,8.333333,MX/LATAM
Cuestionario,Academia/Investigación,Conocimiento,C5,Apoyo en revisión por pares – práctica adecuada,Multiple Choice (una respuesta),A) Pegar el manuscrito en un servicio abierto,"B) No compartir contenido confidencial; si se usa IA, hacerlo en entornos permitidos y declararlo al editor según política",C) Publicarlo en redes,D) No leer el artículo,,B,,Correcta=100; Incorrecta=0,8.333333,MX/LATAM
Cuestionario,Academia/Investigación,Conocimiento,C6,Para asegurar validez en LATAM,Multiple Choice (una respuesta),A) Extrapolar de cualquier población,"B) Evaluar desempeño en idioma/población local, reportar límites y adaptar métodos",C) Traducir y publicar,D) Aumentar temperatura,,B,,Correcta=100; Incorrecta=0,8.333333,MX/LATAM
Cuestionario,Educación/Docentes,Adopción,A1,"¿Con qué frecuencia usa Gen-AI para planeación (objetivos, secuencias didácticas, rúbricas) alineada al currículo local?",Multiple Choice (escala Likert A–E),A) Nunca,B) Rara vez (≤ 1/mes),C) Ocasional (2–3/mes),D) Frecuente (semanal),E) Muy frecuente (diaria),,A=0; B=25; C=50; D=75; E=100,A=0; B=25; C=50; D=75; E=100,8.333333,MX/LATAM
Cuestionario,Educación/Docentes,Adopción,A2,"¿Con qué frecuencia genera con Gen-AI materiales (lecturas, ejercicios, exámenes, guías) y luego los valida antes de usarlos?",Multiple Choice (escala Likert A–E),A) Nunca,B) Rara vez (≤ 1/mes),C) Ocasional (2–3/mes),D) Frecuente (semanal),E) Muy frecuente (diaria),,A=0; B=25; C=50; D=75; E=100,A=0; B=25; C=50; D=75; E=100,8.333333,MX/LATAM
Cuestionario,Educación/Docentes,Adopción,A3,"¿Con qué frecuencia utiliza Gen-AI para diferenciación y adaptaciones (niveles de lectura, ejemplos locales, versiones inclusivas/accesibles)?",Multiple Choice (escala Likert A–E),A) Nunca,B) Rara vez (≤ 1/mes),C) Ocasional (2–3/mes),D) Frecuente (semanal),E) Muy frecuente (diaria),,A=0; B=25; C=50; D=75; E=100,A=0; B=25; C=50; D=75; E=100,8.333333,MX/LATAM
Cuestionario,Educación/Docentes,Adopción,A4,"¿Con qué frecuencia apoya con Gen-AI la retroalimentación personalizada (comentarios sobre tareas, sugerencias de mejora) con revisión docente?",Multiple Choice (escala Likert A–E),A) Nunca,B) Rara vez (≤ 1/mes),C) Ocasional (2–3/mes),D) Frecuente (semanal),E) Muy frecuente (diaria),,A=0; B=25; C=50; D=75; E=100,A=0; B=25; C=50; D=75; E=100,8.333333,MX/LATAM
Cuestionario,Educación/Docentes,Adopción,A5,"¿Con qué frecuencia emplea Gen-AI en evaluación (bancos de ítems, rúbricas, comentarios automáticos) con controles de plagio y answer-key revisado?",Multiple Choice (escala Likert A–E),A) Nunca,B) Rara vez (≤ 1/mes),C) Ocasional (2–3/mes),D) Frecuente (semanal),E) Muy frecuente (diaria),,A=0; B=25; C=50; D=75; E=100,A=0; B=25; C=50; D=75; E=100,8.333333,MX/LATAM
Cuestionario,Educación/Docentes,Adopción,A6,"¿Con qué frecuencia aplica políticas y salvaguardas (no subir PII/menores, declaración de uso, guardrails de sesgo/errores, registro de prompts/outputs)?",Multiple Choice (escala Likert A–E),A) Nunca,B) Rara vez (≤ 1/mes),C) Ocasional (2–3/mes),D) Frecuente (semanal),E) Muy frecuente (diaria),,A=0; B=25; C=50; D=75; E=100,A=0; B=25; C=50; D=75; E=100,8.333333,MX/LATAM
Cuestionario,Educación/Docentes,Conocimiento,C1,Práctica que mejora la calidad de salidas educativas (prompting),Multiple Choice (una respuesta),A) Pedir “hazlo mejor”,"B) Prompt con rol, objetivo, criterios de evaluación, ejemplos y formato de salida",C) Subir tareas de alumnos,D) Aumentar temperatura,,B,,Correcta=100; Incorrecta=0,8.333333,MX/LATAM
Cuestionario,Educación/Docentes,Conocimiento,C2,Política adecuada sobre uso de Gen-AI por estudiantes,Multiple Choice (una respuesta),A) Prohibir sin explicación,"B) Permitir con reglas claras: declaración de uso, límites por actividad, verificación y consecuencias",C) Dejar a criterio del grupo,D) Obligar a usarlo siempre,,B,,Correcta=100; Incorrecta=0,8.333333,MX/LATAM
Cuestionario,Educación/Docentes,Conocimiento,C3,"Con datos de estudiantes (incluidos menores) en MX/LATAM, lo correcto es…",Multiple Choice (una respuesta),A) Subir listas con PII a servicios públicos,"B) Minimizar/anonimizar, usar herramientas aprobadas por la institución y evitar PII en servicios abiertos",C) Compartir por chats personales,D) Publicar calificaciones con nombre,,B,,Correcta=100; Incorrecta=0,8.333333,MX/LATAM
Cuestionario,Educación/Docentes,Conocimiento,C4,Riesgo típico al crear materiales con Gen-AI,Multiple Choice (una respuesta),A) Más creatividad,B) Afirmaciones/ejemplos erróneos plausibles; requiere fact-checking y referencias,C) Falta de emojis,D) PDF pesado,,B,,Correcta=100; Incorrecta=0,8.333333,MX/LATAM
Cuestionario,Educación/Docentes,Conocimiento,C5,"Para accesibilidad (UDL) y diversidad lingüística regional, ¿qué es mejor?",Multiple Choice (una respuesta),A) Un solo registro formal,"B) Generar múltiples niveles/formatos (lectura fácil, audio, español regional) y revisión docente",C) Traducir literal,D) Solo jerga técnica,,B,,Correcta=100; Incorrecta=0,8.333333,MX/LATAM
Cuestionario,Educación/Docentes,Conocimiento,C6,"Al publicar materiales con Gen-AI, ¿qué revisar?",Multiple Choice (una respuesta),A) Nada; todo es libre,"B) Términos/licencias de herramienta y outputs, uso comercial, citación de fuentes y respeto a obras de terceros",C) Solo tipografía,D) Cambiar colores,,B,,Correcta=100; Incorrecta=0,8.333333,MX/LATAM
Cuestionario,Diseño/Industrias Creativas,Adopción,A1,"¿Con qué frecuencia usa Gen-AI para ideación (moodboards, concept art, style frames, storyboards) a partir de briefs de marca?",Multiple Choice (escala Likert A–E),A) Nunca,B) Rara vez (≤ 1/mes),C) Ocasional (2–3/mes),D) Frecuente (semanal),E) Muy frecuente (diaria),,A=0; B=25; C=50; D=75; E=100,A=0; B=25; C=50; D=75; E=100,8.333333,MX/LATAM
Cuestionario,Diseño/Industrias Creativas,Adopción,A2,¿Con qué frecuencia genera activos (imagen/video/audio/3D) o variaciones para tests A/B con Gen-AI?,Multiple Choice (escala Likert A–E),A) Nunca,B) Rara vez (≤ 1/mes),C) Ocasional (2–3/mes),D) Frecuente (semanal),E) Muy frecuente (diaria),,A=0; B=25; C=50; D=75; E=100,A=0; B=25; C=50; D=75; E=100,8.333333,MX/LATAM
Cuestionario,Diseño/Industrias Creativas,Adopción,A3,"¿Con qué frecuencia aplica Gen-AI para localización/transcreación al español regional (MX, AR, CO, CL, etc.) y adecuación cultural?",Multiple Choice (escala Likert A–E),A) Nunca,B) Rara vez (≤ 1/mes),C) Ocasional (2–3/mes),D) Frecuente (semanal),E) Muy frecuente (diaria),,A=0; B=25; C=50; D=75; E=100,A=0; B=25; C=50; D=75; E=100,8.333333,MX/LATAM
Cuestionario,Diseño/Industrias Creativas,Adopción,A4,"¿Con qué frecuencia integra Gen-AI en su suite de trabajo (Adobe/Figma/Blender/DAW) con prompt libraries, versioning y asset management?",Multiple Choice (escala Likert A–E),A) Nunca,B) Rara vez (≤ 1/mes),C) Ocasional (2–3/mes),D) Frecuente (semanal),E) Muy frecuente (diaria),,A=0; B=25; C=50; D=75; E=100,A=0; B=25; C=50; D=75; E=100,8.333333,MX/LATAM
Cuestionario,Diseño/Industrias Creativas,Adopción,A5,"¿Con qué frecuencia ejecuta controles de marca y seguridad (listas de exclusión, QA de claims, revisión de hallucinations, brand book aplicado) asistidos por Gen-AI?",Multiple Choice (escala Likert A–E),A) Nunca,B) Rara vez (≤ 1/mes),C) Ocasional (2–3/mes),D) Frecuente (semanal),E) Muy frecuente (diaria),,A=0; B=25; C=50; D=75; E=100,A=0; B=25; C=50; D=75; E=100,8.333333,MX/LATAM
Cuestionario,Diseño/Industrias Creativas,Adopción,A6,"¿Con qué frecuencia aplica controles de IP/consentimiento/procedencia (revisión de licencias, model/output rights, releases, marcas/rostros, etiquetas de contenido sintético)?",Multiple Choice (escala Likert A–E),A) Nunca,B) Rara vez (≤ 1/mes),C) Ocasional (2–3/mes),D) Frecuente (semanal),E) Muy frecuente (diaria),,A=0; B=25; C=50; D=75; E=100,A=0; B=25; C=50; D=75; E=100,8.333333,MX/LATAM
Cuestionario,Diseño/Industrias Creativas,Conocimiento,C1,¿Qué mejora la calidad/repetibilidad de salidas creativas?,Multiple Choice (una respuesta),A) “Hazlo cool”,"B) Brief estructurado: objetivo, audiencia, tono/brandbook, referencias, composición/aspect ratio, restricciones y negative prompts",C) Prompts al azar,D) Aumentar resolución,,B,,Correcta=100; Incorrecta=0,8.333333,MX/LATAM
Cuestionario,Diseño/Industrias Creativas,Conocimiento,C2,"Antes de usar un activo generado, ¿qué es crítico?",Multiple Choice (una respuesta),A) Todo es libre por defecto,"B) Revisar términos/licencias del modelo y derechos sobre outputs, uso comercial, restricciones sobre training data, y compatibilidad con la marca",C) Cambiar colores,D) Solo citar al modelo,,B,,Correcta=100; Incorrecta=0,8.333333,MX/LATAM
Cuestionario,Diseño/Industrias Creativas,Conocimiento,C3,"Para usar rostro/voz de una persona real, lo correcto es…",Multiple Choice (una respuesta),A) Proceder sin permiso,B) Obtener consentimiento y/o releases aplicables; evitar usos engañosos y señalizar contenido sintético cuando corresponda,C) Editar sin avisar,D) Ocultar que es IA,,B,,Correcta=100; Incorrecta=0,8.333333,MX/LATAM
Cuestionario,Diseño/Industrias Creativas,Conocimiento,C4,"Con assets confidenciales de cliente, práctica adecuada",Multiple Choice (una respuesta),A) Subirlos a servicios públicos,B) Minimizar/anonimizar; usar entornos aprobados/privados; NDAs y control de acceso; prohibir subir source files sensibles a servicios abiertos,C) Compartir por chats personales,D) Enviar a correos personales,,B,,Correcta=100; Incorrecta=0,8.333333,MX/LATAM
Cuestionario,Diseño/Industrias Creativas,Conocimiento,C5,"Para evitar estereotipos y asegurar pertinencia regional, ayuda más…",Multiple Choice (una respuesta),A) Un solo “español neutro”,"B) Prompts inclusivos con guías culturales locales, revisión humana y pruebas con audiencias meta",C) Traducir literal,D) Aumentar temperatura,,B,,Correcta=100; Incorrecta=0,8.333333,MX/LATAM
Cuestionario,Diseño/Industrias Creativas,Conocimiento,C6,¿Qué mejora reproducibilidad y auditoría creativa?,Multiple Choice (una respuesta),A) No guardar nada,"B) Registrar prompts, semillas, versión del modelo, parámetros, fuentes, derechos/licencias y etiquetas de procedencia cuando aplique",C) Solo exportar el JPG final,D) Cambiar nombre del archivo,,B,,Correcta=100; Incorrecta=0,8.333333,MX/LATAM
